cell,integration_cluster,cell_type,sample_type
X195623388572060.N,2,Pro-angiogenesis Macrophage,N
X195623388829413.N,0,Effector/Memory CD8+ T cells,N
X195623388887341.T,0,CD8+ T cell,T
X195625758157595.T,1,Effector/Memory CD8+ T cells,T
X195625758189797.N,2,Pro-angiogenesis Macrophage,N
X195625758608166.N,8,Lung Cancer Cell,N
X195625758681819.T,12,Endothelial Cells,T
X195625772576044.N,2,Pro-angiogenesis Macrophage,N
X195625772767068.N,13,Lung Cancer Cell,N
X195625773320094.N,13,Lung Cancer Cell,N
X195625785120621.T,5,B Cell,T
X195625785711837.T,4,Phagocytosis Macrophage,T
X195625785714413.T,0,CD4+ T cell,T
X195625785944309.T,0,Effector/Memory CD8+ T cells,T
X195625804773292.N,3,Pro-angiogenesis Macrophage,N
X195625804787046.N,2,Pro-angiogenesis Macrophage,N
X195958617855773.N,4,Pro-angiogenesis Macrophage,N
X195958618405237.T,4,Macrophage,T
X195958618605419.T,1,Exhausted CD8+ T cells,T
X195958618609451.N,6,Natural killer cell,N
X195958632540908.N,2,Pro-angiogenesis Macrophage,N
X195958632728373.T,10,CAFmyo,T
X195958632797996.N,3,Pro-angiogenesis Macrophage,N
X195958633056996.T,10,CAFinfla,T
X195958633085286.T,5,B Cell,T
X195958633327860.T,0,CD4+ T cell,T
X195958645058870.T,1,Exhausted CD8+ T cells,T
X195958645311725.T,5,B Cell,T
X195958645385507.T,5,B Cell,T
X195958645385964.N,1,Effector/Memory CD4+ T cells,N
X195958645578654.N,7,Macrophage,N
X195958645615909.N,2,Pro-angiogenesis Macrophage,N
X195958663953196.T,0,Effector/Memory CD4+ T cells,T
X195958663961372.T,6,Natural killer cell,T
X195958663989172.N,2,Pro-angiogenesis Macrophage,N
X195958664443701.N,11,Macrophage or Dendritic Cell,N
X195958664456987.N,0,Effector/Memory CD4+ T cells,N
X195958664543660.T,4,Macrophage,T
X195958664714157.T,5,B Cell,T
X195967073508188.T,1,Exhausted CD8+ T cells,T
X195967073540446.T,4,Blood Cell,T
X195967073572700.T,1,Effector/Memory CD8+ T cells,T
X195967073872307.T,5,B Cell,T
X195967074024371.N,3,Pro-angiogenesis Macrophage,N
X195967074064693.T,1,Tfh/Th1 helper CD4+ T cells,T
X195967074326301.N,7,Pro-angiogenesis Macrophage,N
X195967088979166.N,1,CD8 T or NK cell,N
X195967089039604.T,0,CD4+ T cell,T
X195967089067950.T,2,Phagocytosis Macrophage,T
X195967101619438.N,4,Phagocytosis Macrophage,N
X195967119648486.N,3,Pro-angiogenesis Macrophage,N
X195967119681907.N,7,Pro-angiogenesis Macrophage,N
X195967119703286.T,5,B Cell,T
X195967120227573.N,4,Blood Cell,N
X195967120430940.T,1,Exhausted CD8+ T cells,T
X195967120463790.N,2,Pro-angiogenesis Macrophage,N
X195967120521462.T,5,B Cell,T
X195967120526044.T,0,CD4+ T cell,T
X196019686848862.T,0,T or NK Cell,T
X196019686926684.N,3,Pro-angiogenesis Macrophage,N
X196019687213366.N,0,Effector/Memory CD4+ T cells,N
X196019687676205.T,3,Macrophage,T
X196019701794667.N,7,Pro-inflammatory Macrophage,N
X196019702061283.N,2,Pro-angiogenesis Macrophage,N
X196019714189235.T,3,Macrophage,T
X196019714451747.N,0,Blood Cell,N
X196019714931637.N,0,Blood Cell,N
X196019714967275.N,4,Pro-angiogenesis Macrophage,N
X196019733609844.T,0,CD4+ T cell,T
X196019733804787.N,6,Natural killer cell,N
X196043577637613.N,1,Effector/Memory CD8+ T cells,N
X196043577715948.N,2,Pro-angiogenesis Macrophage,N
X196043577973148.T,14,Mast cell,T
X196043578207067.N,6,Natural killer cell,N
X196043578456430.N,6,Natural killer cell,N
X196043592289197.T,7,Macrophage,T
X196043592351139.T,4,Macrophage,T
X196043592657763.N,0,Effector/Memory CD4+ T cells,N
X196043592817499.N,8,Lung Cancer Cell,N
X196043604973854.N,6,Natural killer cell,N
X196043605391197.T,1,Exhausted CD8+ T cells,T
X196043624036214.N,2,Pro-angiogenesis Macrophage,N
X196043624311716.N,1,CD8 T or NK cell,N
X196043624311731.N,8,Lung Cancer Cell,N
X196043624376676.T,9,cDC2,T
X196043624602854.N,4,Pro-angiogenesis Macrophage,N
X196113236875190.N,4,Pro-angiogenesis Macrophage,N
X196113236965171.N,4,Pro-angiogenesis Macrophage,N
X196113237207971.N,6,Natural killer cell,N
X196113237239653.T,5,Blood Cell,T
X196113251551029.T,8,Pancreatic Cancer Cell,T
X196113251912436.N,6,Natural killer cell,N
X196113263913316.N,2,Pro-angiogenesis Macrophage,N
X196113264130422.T,0,Tfh/Th1 helper CD4+ T cells,T
X196113264655653.T,5,B Cell,T
X196163836697883.T,1,Exhausted CD8+ T cells,T
X196163837478747.T,5,B Cell,T
X196163851663725.T,2,Macrophage,T
X196163864024940.N,2,Pro-angiogenesis Macrophage,N
X196163864025451.N,3,Pro-angiogenesis Macrophage,N
X196163864545580.N,3,Pro-angiogenesis Macrophage,N
X196163864553396.N,7,Pro-inflammatory Macrophage,N
X196163864586100.T,8,Pancreatic Cancer Cell,T
X196163864803164.N,6,Natural killer cell,N
X196163882904885.N,4,Pro-angiogenesis Macrophage,N
X196163883121061.T,0,CD4+ T cell,T
X196163883678508.T,7,Macrophage,T
X196174306031523.N,4,Pro-angiogenesis Macrophage,N
X196174306557227.N,3,Pro-angiogenesis Macrophage,N
X196174320417571.T,3,Pro-angiogenesis Macrophage,T
X196174320425758.N,13,Lung Cancer Cell,N
X196174320621925.N,6,Natural killer cell,N
X196174320974252.T,5,B Cell,T
X196174320977771.N,2,Pro-angiogenesis Macrophage,N
X196174333491499.T,5,B Cell,T
X196174333729580.N,13,Lung Cancer Cell,N
X196174333795635.T,5,B Cell,T
X196174351919979.N,0,Natural killer cell,N
X196174352366827.N,4,Macrophage,N
X196174352632548.T,0,CD4+ T cell,T
X196180748156341.N,0,Effector/Memory CD4+ T cells,N
X196180748159924.N,0,Effector/Memory CD8+ T cells,N
X196180748191475.N,2,Pro-angiogenesis Macrophage,N
X196180748429211.T,0,T regulatory cells,T
X196180748744542.N,7,Pro-inflammatory Macrophage,N
X196180748748654.N,4,Pro-angiogenesis Macrophage,N
X196180748954334.T,7,Macrophage or Dendritic Cell,T
X196180748983019.N,6,Natural killer cell,N
X196180763102627.N,4,Naive CD4+ T cells,N
X196180763130293.N,1,Natural killer cell,N
X196180763135196.N,8,Lung Cancer Cell,N
X196180763137846.T,10,CAFadi,T
X196180763428715.N,0,Pro-angiogenesis Macrophage,N
X196180775422301.N,8,Endothelial Cells,N
X196180775684852.N,3,Pro-angiogenesis Macrophage,N
X196180775942438.T,9,Exhausted CD8+ T cells,T
X196180776216877.N,2,Pro-angiogenesis Macrophage,N
X196180794326430.T,3,Pro-angiogenesis Macrophage,T
X196180794358620.N,1,Natural killer cell,N
X196180794882269.N,4,Macrophage,N
X196527700952989.N,12,Endothelial Cells,N
X196527700953902.T,1,Effector/Memory CD8+ T cells,T
X196527700954524.N,0,Effector/Memory CD4+ T cells,N
X196527701244205.N,2,Pro-angiogenesis Macrophage,N
X196527701252342.N,7,Macrophage,N
X196527701256614.N,3,Pro-angiogenesis Macrophage,N
X196527701318940.T,0,CD4+ T cell,T
X196527701542764.T,1,CD8+ T cell,T
X196527701745059.T,4,Phagocytosis Macrophage,T
X196527701773732.N,0,Effector/Memory CD4+ T cells,N
X196527715696053.T,9,Tfh/Th1 helper CD4+ T cells,T
X196527715900331.T,4,Blood Cell,T
X196527715994412.N,3,Pro-angiogenesis Macrophage,N
X196527716194012.T,0,CD4+ T cell,T
X196527716223405.N,4,Macrophage,N
X196527716461939.T,0,Blood Cell,T
X196527716485924.T,4,Macrophage,T
X196527728249638.N,8,Normal Fibroblast,N
X196527747389348.N,4,Pro-angiogenesis Macrophage,N
X196527747421918.N,2,Pro-angiogenesis Macrophage,N
X196527747938158.T,0,Effector/Memory CD8+ T cells,T
X196638162508508.T,6,Natural killer cell,T
X196638162676141.N,4,Macrophage,N
X196638176897772.T,8,Pancreatic Cancer Cell,T
X196638176925491.N,2,Pro-angiogenesis Macrophage,N
X196638177380270.T,5,B Cell,T
X196638177384349.N,0,Effector/Memory CD8+ T cells,N
X196638177610083.T,12,Endothelial Cells,T
X196638189411190.N,0,Effector/Memory CD4+ T cells,N
X196638189696876.T,8,Normal Fibroblast,T
X196638189704950.N,0,Effector/Memory CD4+ T cells,N
X196638190291694.T,5,B Cell,T
X196638208386860.T,0,CD4+ T cell,T
X196638208617699.T,1,CD8+ T cell,T
X196638209096556.T,14,Mast cell,T
X196715471551902.N,2,Macrophage,N
X196715471619893.N,11,Pro-angiogenesis Macrophage,N
X196715471914798.T,5,B Cell,T
X196715472107876.T,6,Natural killer cell,T
X196715472369564.N,6,Natural killer cell,N
X196715472444189.N,2,Pro-angiogenesis Macrophage,N
X196715486268134.T,1,Effector/Memory CD8+ T cells,T
X196715486297332.N,2,Pro-angiogenesis Macrophage,N
X196715486337252.N,2,Pro-angiogenesis Macrophage,N
X196715487021940.N,1,Natural killer cell,N
X196715498817910.T,2,Phagocytosis Macrophage,T
X196715498920819.T,1,Exhausted CD8+ T cells,T
X196715499440556.N,7,Macrophage,N
X196715499441372.T,5,B Cell,T
X196715499612406.N,3,Pro-angiogenesis Macrophage,N
X196715517693339.N,3,Pro-angiogenesis Macrophage,N
X196715517765918.T,1,Effector/Memory CD8+ T cells,T
X196715517790950.T,5,B Cell,T
X196715517799731.N,1,Effector/Memory CD8+ T cells,N
X196715518015773.T,5,B Cell,T
X196715518048102.T,1,Tfh/Th1 helper CD4+ T cells,T
X196715518578085.N,2,Pro-angiogenesis Macrophage,N
X197058263635763.T,10,CAFinfla,T
X197058264160675.N,1,Effector/Memory CD4+ T cells,N
X197058264188787.T,8,Pancreatic Cancer Cell,T
X197058264222628.T,1,Exhausted CD8+ T cells,T
X197058264223013.N,0,Effector/Memory CD4+ T cells,N
X197058264480164.N,1,Effector/Memory CD4+ T cells,N
X197058278583715.N,3,Pro-angiogenesis Macrophage,N
X197058279130909.T,1,Exhausted CD8+ T cells,T
X197058279198109.N,7,Pro-angiogenesis Macrophage,N
X197058290994038.T,0,Effector/Memory CD8+ T cells,T
X197058291416419.T,1,CD8+ T cell,T
X197058309810075.N,1,CD4 or CD8 T cell,N
X197058309872438.T,5,B Cell,T
X197058310100829.T,1,CD8+ T cell,T
X197060142774573.T,5,B Cell,T
X197060142947622.N,8,Lung Cancer Cell,N
X197060142976293.N,2,Pro-angiogenesis Macrophage,N
X197060143308196.T,9,Tfh/Th1 helper CD4+ T cells,T
X197060157397742.N,2,Pro-angiogenesis Macrophage,N
X197060157401884.N,7,Pro-angiogenesis Macrophage,N
X197060157627230.T,0,CD4+ T cell,T
X197060157656421.T,14,Mast cell,T
X197060158221533.T,0,CD4 or CD8 T cell,T
X197060158245605.T,1,CD8+ T cell,T
X197060169976549.T,12,Endothelial Cells,T
X197060170271588.T,1,CD8+ T cell,T
X197060188858739.N,8,Stromal Cell,N
X197060189416220.N,3,Pro-angiogenesis Macrophage,N
X197060189645035.T,1,Exhausted CD8+ T cells,T
X197068867098414.N,4,Macrophage,N
X197068867463396.N,2,Pro-angiogenesis Macrophage,N
X197068867684587.T,0,CD8+ T cell,T
X197068881516892.N,0,Effector/Memory CD4+ T cells,N
X197068881804011.N,6,Natural killer cell,N
X197068882077547.N,2,Pro-angiogenesis Macrophage,N
X197068894202164.T,2,Phagocytosis Macrophage,T
X197068894366046.N,0,Effector/Memory CD8+ T cells,N
X197068894391669.T,0,CD4+ T cell,T
X197068894886132.T,1,Exhausted CD8+ T cells,T
X197068913272670.N,2,Pro-angiogenesis Macrophage,N
X197068913559797.T,11,LAMP3 cDC,T
X197135438900525.N,7,Pro-inflammatory Macrophage,N
X197135439121835.N,0,Effector/Memory CD4+ T cells,N
X197135439129462.T,5,B Cell,T
X197135439153437.N,4,Macrophage,N
X197135439194027.N,0,Effector/Memory CD4+ T cells,N
X197135439620406.T,8,Non Stromal Cell,T
X197135453535588.N,3,Pro-angiogenesis Macrophage,N
X197135453547230.T,1,Effector/Memory CD8+ T cells,T
X197135454026163.N,4,Pro-angiogenesis Macrophage,N
X197135454391667.T,10,CAFmyo,T
X197135454394283.N,2,Pro-angiogenesis Macrophage,N
X197135466387813.N,0,Effector/Memory CD4+ T cells,N
X197135466444590.T,5,B Cell,T
X197135466620771.N,3,Pro-angiogenesis Macrophage,N
X197135466880363.T,5,B Cell,T
X197135466912107.N,0,Effector/Memory CD4+ T cells,N
X197135485286685.N,7,Pro-inflammatory Macrophage,N
X197135485298540.N,2,Pro-angiogenesis Macrophage,N
X197135485492067.T,8,Pancreatic Cancer Cell,T
X197135485745580.T,0,Naive CD4+ T cells,T
X197135485790069.T,4,Phagocytosis Macrophage,T
X197145236821787.T,5,B Cell,T
X197145237024029.N,8,Non Blood Cell,N
X197145251429172.T,4,Phagocytosis Macrophage,T
X197145251986787.T,12,Endothelial Cells,T
X197145252248869.N,3,Pro-angiogenesis Macrophage,N
X197145264044901.T,0,CD4+ T cell,T
X197145264052587.T,1,Exhausted CD8+ T cells,T
X197145264504163.T,1,Exhausted CD8+ T cells,T
X197145264569589.T,0,CD4+ T cell,T
X197145264766245.N,0,Effector/Memory CD4+ T cells,N
X197145282963764.T,1,Exhausted CD8+ T cells,T
X197145283376949.N,7,Pro-angiogenesis Macrophage,N
X197145283475238.N,3,Pro-angiogenesis Macrophage,N
X197185771072347.N,3,Pro-angiogenesis Macrophage,N
X197185771289387.T,9,Macrophage,T
X197185771333875.N,0,Blood Cell,N
X197185785682356.N,0,Effector/Memory CD4+ T cells,N
X197185785714396.T,15,pDC,T
X197185785743158.T,1,Exhausted CD8+ T cells,T
X197185785776348.T,2,Phagocytosis Macrophage,T
X197185785940723.N,4,Macrophage,N
X197185798003422.T,0,CD4+ T cell,T
X197185798334388.N,8,Any Cell,N
X197185798520053.N,6,Natural killer cell,N
X197185798560028.N,2,Pro-angiogenesis Macrophage,N
X197185798625590.T,9,CD8+ T cell,T
X197185816611699.T,3,Macrophage,T
X197185816718622.T,0,CD4+ T cell,T
X197185816935654.N,3,Pro-angiogenesis Macrophage,N
X197185816939253.N,2,Pro-angiogenesis Macrophage,N
X197185816948062.N,1,Effector/Memory CD4+ T cells,N
X197185817200885.T,1,Exhausted CD8+ T cells,T
X197188186660125.T,8,Pancreatic Cancer Cell,T
X197188186691883.N,8,Lung Cancer Cell,N
X197188186716076.T,4,Any Cell,T
X197188186725669.N,4,Naive CD4+ T cells,N
X197188187253038.N,2,Pro-angiogenesis Macrophage,N
X197188201135348.N,3,Pro-angiogenesis Macrophage,N
X197188201396510.N,1,Effector/Memory CD8+ T cells,N
X197188201602277.N,2,Pro-angiogenesis Macrophage,N
X197188213983533.T,15,pDC,T
X197188214208811.N,6,Pro-angiogenesis Macrophage,N
X197188214447467.N,0,Naive CD4+ T cells,N
X197188214504307.N,1,Effector/Memory CD8+ T cells,N
X197188232531302.N,7,Pro-angiogenesis Macrophage,N
X197188232559404.T,2,Macrophage,T
X197188232567580.N,0,Effector/Memory CD4+ T cells,N
X197188233092516.T,0,CD4+ T cell,T
X197188233117094.T,2,Phagocytosis Macrophage,T
X197188233386404.T,0,Effector/Memory CD8+ T cells,T
X197206037384429.T,0,Effector/Memory CD8+ T cells,T
X197206037612981.T,0,CD4+ T cell,T
X197206037642549.N,0,Effector/Memory CD4+ T cells,N
X197206037936045.T,1,Exhausted CD8+ T cells,T
X197206038170342.T,9,T regulatory cells,T
X197206038211291.N,6,Natural killer cell,N
X197206052133213.N,0,Blood Cell,N
X197206052359395.T,5,B Cell,T
X197206052558699.N,0,Blood Cell,N
X197206052855198.T,9,Exhausted CD8+ T cells,T
X197206052910947.N,3,Pro-angiogenesis Macrophage,N
X197206064655092.T,1,CD8+ T cell,T
X197206064717158.N,12,Endothelial Cells,N
X197206064950174.T,5,B Cell,T
X197206065207069.N,8,Normal Fibroblast,N
X197206065237414.T,10,CAFmyo,T
X197206065400621.N,0,Naive CD4+ T cells,N
X197206084019958.N,2,Pro-angiogenesis Macrophage,N
X197206084107165.N,0,CD4 or CD8 T cell,N
X197206084278573.T,8,Any Cell,T
X197213554339045.T,1,CD4 or CD8 T cell,T
X197213554424118.N,3,Pro-angiogenesis Macrophage,N
X197213568263918.N,0,Blood Cell,N
X197213568589108.T,1,Exhausted CD8+ T cells,T
X197213569010548.T,2,Macrophage,T
X197213569050987.T,0,T regulatory cells,T
X197213569074931.T,5,B Cell,T
X197213580867309.N,0,Effector/Memory CD8+ T cells,N
X197213581076830.N,2,Pro-angiogenesis Macrophage,N
X197213581134574.N,9,Pro-angiogenesis Macrophage,N
X197213581141941.N,1,Effector/Memory CD8+ T cells,N
X197213599709621.T,0,Effector/Memory CD4+ T cells,T
X197213599742302.N,4,Macrophage,N
X197213599745972.T,5,B Cell,T
X197213600213787.T,0,CD4 or CD8 T cell,T
X197213600504755.T,3,Macrophage,T
X197213600536284.T,4,B Cell,T
X197256771947942.N,0,Effector/Memory CD4+ T cells,N
X197256786331997.N,2,Pro-angiogenesis Macrophage,N
X197256786631516.T,2,Phagocytosis Macrophage,T
X197256786696619.T,2,Phagocytosis Macrophage,T
X197256798919069.N,6,Natural killer cell,N
X197256798923678.N,1,Effector/Memory CD4+ T cells,N
X197256799251683.T,1,CD4+ T cell,T
X197256799696803.N,7,Macrophage,N
X197256799702430.N,4,Pro-angiogenesis Macrophage,N
X197256799730595.T,0,T regulatory cells,T
X197256799739107.N,2,Pro-angiogenesis Macrophage,N
X197256799742253.N,4,Blood Cell,N
X197256817850214.N,4,Naive CD4+ T cells,N
X197256817858349.N,2,Pro-angiogenesis Macrophage,N
X197256818087844.N,2,Pro-angiogenesis Macrophage,N
X197256818091870.T,0,CD4+ T cell,T
X197256818116965.N,3,Pro-angiogenesis Macrophage,N
X197256818125726.N,7,Pro-angiogenesis Macrophage,N
X197256818313645.N,2,Pro-angiogenesis Macrophage,N
X197256818378668.N,3,Pro-angiogenesis Macrophage,N
X197256818412251.T,0,Effector/Memory CD8+ T cells,T
X197264019471605.N,2,Pro-angiogenesis Macrophage,N
X197264019998572.N,2,Pro-angiogenesis Macrophage,N
X197264020032371.T,1,CD8+ T cell,T
X197264034917747.N,8,Lung Cancer Cell,N
X197264047032244.N,8,Any Cell,N
X197264047257909.T,1,CD4 or CD8 T cell,T
X197264047459117.N,0,Effector/Memory CD4+ T cells,N
X197264047491427.N,12,Endothelial Cells,N
X197264065645862.T,1,Exhausted CD8+ T cells,T
X197264065871083.T,0,CD4+ T cell,T
X199865964615460.N,7,Pro-angiogenesis Macrophage,N
X199865964809582.N,6,Natural killer cell,N
X199865964850478.N,3,Pro-angiogenesis Macrophage,N
X199865979034398.N,8,Lung Cancer Cell,N
X199865979066717.N,3,Pro-angiogenesis Macrophage,N
X199865979489523.T,0,CD8+ T cell,T
X199865979524908.T,1,Effector/Memory CD8+ T cells,T
X199865979549622.N,7,Macrophage,N
X199865979817308.T,5,B Cell,T
X199865991555998.N,2,Pro-angiogenesis Macrophage,N
X199865991646574.T,5,B Cell,T
X199865991646622.T,9,Macrophage,T
X199865992071021.T,4,Phagocytosis Macrophage,T
X199865992111923.T,0,CD4+ T cell,T
X199865992112035.N,2,Pro-angiogenesis Macrophage,N
X199865992166622.N,3,Pro-angiogenesis Macrophage,N
X199866010429158.N,1,Effector/Memory CD4+ T cells,N
X199866010941237.T,8,Pancreatic Cancer Cell,T
X199934549645660.N,6,Natural killer cell,N
X199934549646622.N,2,Pro-angiogenesis Macrophage,N
X199934549912292.T,5,Effector/Memory CD8+ T cells,T
X199934550104805.T,1,Exhausted CD8+ T cells,T
X199934550165811.N,0,Effector/Memory CD4+ T cells,N
X199934550424875.N,1,Effector/Memory CD8+ T cells,N
X199934564224436.T,5,B Cell,T
X199934564293940.T,1,Exhausted CD8+ T cells,T
X199934564579683.N,0,Effector/Memory CD4+ T cells,N
X199934565108453.N,0,Blood Cell,N
X199934576842605.T,0,CD4+ T cell,T
X199934577428908.T,2,Phagocytosis Macrophage,T
X199934577429340.T,1,Exhausted CD8+ T cells,T
X199934577429724.N,3,Pro-angiogenesis Macrophage,N
X199934577597803.T,0,CD4+ T cell,T
X199934577600758.T,4,Macrophage,T
X199934577621405.N,3,Pro-angiogenesis Macrophage,N
X199934577699636.T,5,B Cell,T
X199934595685094.N,2,Pro-angiogenesis Macrophage,N
X199934595689710.N,2,Pro-angiogenesis Macrophage,N
X199934595709358.T,9,CD8+ T cell,T
X199934595747102.T,0,CD4+ T cell,T
X199934595946277.N,7,Pro-angiogenesis Macrophage,N
X199934595979550.N,0,Effector/Memory CD4+ T cells,N
X199934596266931.N,2,Pro-angiogenesis Macrophage,N
X199934596298669.N,7,Pro-inflammatory Macrophage,N
X199934596496813.T,3,Phagocytosis Macrophage,T
X199934596533084.N,1,Effector/Memory CD4+ T cells,N
X199934596562267.N,2,Pro-angiogenesis Macrophage,N
X199944348002678.T,5,CD8+ T cell,T
X199944362219229.N,3,Pro-angiogenesis Macrophage,N
X199944362477798.T,10,CAFmyo,T
X199944362487094.N,0,Effector/Memory CD4+ T cells,N
X199944362677998.N,0,Effector/Memory CD4+ T cells,N
X199944362903411.T,8,CAFinfla,T
X199944363002597.N,3,Pro-angiogenesis Macrophage,N
X199944374730037.N,2,Pro-angiogenesis Macrophage,N
X199944375220061.N,2,Pro-angiogenesis Macrophage,N
X199944375228844.N,0,Effector/Memory CD4+ T cells,N
X199944375229147.N,0,Blood Cell,N
X199944375323365.T,0,CD8+ T cell,T
X199944375323868.N,4,Macrophage,N
X199944375324070.N,3,Pro-angiogenesis Macrophage,N
X199944375524579.N,0,Effector/Memory CD4+ T cells,N
X199944393603997.N,3,Pro-angiogenesis Macrophage,N
X199944393635686.N,2,Pro-angiogenesis Macrophage,N
X199944394128619.T,8,Cancer Associated Fibroblasts,T
X199944394390323.N,8,Any Cell,N
X199962332621612.N,2,Pro-angiogenesis Macrophage,N
X199962332642716.N,7,Macrophage,N
X199962332945701.T,5,B Cell,T
X199962332973294.T,5,B Cell,T
X199962332982123.T,5,B Cell,T
X199962333212003.T,1,CD8 T or NK cell,T
X199962333394861.N,0,Naive CD4+ T cells,N
X199962347551158.T,6,Natural killer cell,T
X199962347554613.N,0,Effector/Memory CD4+ T cells,N
X199962347625244.N,1,Effector/Memory CD8+ T cells,N
X199962347628827.N,13,Lung Cancer Cell,N
X199962360405342.T,0,Effector/Memory CD8+ T cells,T
X199962378816428.N,3,Pro-angiogenesis Macrophage,N
X199962379008925.N,7,Macrophage,N
X199962379053364.T,0,CD4+ T cell,T
X199962379369373.N,0,Effector/Memory CD4+ T cells,N
X199962379565875.N,0,Effector/Memory CD4+ T cells,N
X200348208655772.N,8,Lung Cancer Cell,N
X200348208904619.N,2,Pro-angiogenesis Macrophage,N
X200348208936755.T,0,CD4+ T cell,T
X200348208946460.N,2,Pro-angiogenesis Macrophage,N
X200348223270196.N,6,Natural killer cell,N
X200348223519158.T,0,CD4+ T cell,T
X200348223626459.T,2,Phagocytosis Macrophage,T
X200348236142326.T,0,T regulatory cells,T
X200348236179236.N,6,Natural killer cell,N
X200348236180382.N,2,Pro-angiogenesis Macrophage,N
X200348236371830.T,2,Macrophage,T
X200348254758709.T,3,Phagocytosis Macrophage,T
X200348254788404.N,2,Phagocytosis Macrophage,N
X200348254989667.T,5,B Cell,T
X200348255313180.N,2,Pro-angiogenesis Macrophage,N
X200348255337900.T,0,CD4+ T cell,T
X200348255546726.T,5,B Cell,T
X200348255570292.N,1,Effector/Memory CD4+ T cells,N
X200348255604133.N,6,Natural killer cell,N
X200363912056238.T,0,T regulatory cells,T
X200363912129252.T,0,CD4+ T cell,T
X200363912358310.T,4,Macrophage,T
X200363912611764.T,1,Effector/Memory CD8+ T cells,T
X200363912617396.N,4,Pro-angiogenesis Macrophage,N
X200363912903076.N,4,Pro-angiogenesis Macrophage,N
X200363926743838.N,0,Effector/Memory CD8+ T cells,N
X200363926776748.N,3,Pro-angiogenesis Macrophage,N
X200363927034158.T,2,Phagocytosis Macrophage,T
X200363927104822.T,5,B Cell,T
X200363927300532.N,6,Natural killer cell,N
X200363939351325.T,0,Blood Cell,T
X200363939416950.N,1,Natural killer cell,N
X200363958255006.N,2,Pro-angiogenesis Macrophage,N
X200363958529307.N,6,Natural killer cell,N
X200363958779302.N,4,Blood Cell,N
X200363959008676.N,1,Effector/Memory CD8+ T cells,N
X200416659684597.N,2,Pro-angiogenesis Macrophage,N
X200416659921819.N,3,Pro-angiogenesis Macrophage,N
X200416659945318.T,5,B Cell,T
X200416660183412.N,4,Pro-angiogenesis Macrophage,N
X200416674363821.N,2,Pro-angiogenesis Macrophage,N
X200416674367907.T,0,T regulatory cells,T
X200416674569637.N,2,Pro-angiogenesis Macrophage,N
X200416674659044.T,6,Natural killer cell,T
X200416675195163.N,15,pDC,N
X200416686992115.N,3,Pro-angiogenesis Macrophage,N
X200416687242613.N,4,Naive CD4+ T cells,N
X200416687478692.N,2,Pro-angiogenesis Macrophage,N
X200416705795877.N,7,Pro-angiogenesis Macrophage,N
X200416705832747.T,4,CD4 or CD8 T cell,T
X200416705858292.T,5,B Cell,T
X200416705861549.T,0,CD8+ T cell,T
X200416706292069.T,0,CD4+ T cell,T
X200426591767789.T,1,Exhausted CD8+ T cells,T
X200426591774438.T,5,B Cell,T
X200426591836508.T,8,Non Blood Cell,T
X200426591992054.N,3,Pro-angiogenesis Macrophage,N
X200426591996205.T,2,Phagocytosis Macrophage,T
X200426592029989.T,2,Phagocytosis Macrophage,T
X200426592093998.T,5,B Cell,T
X200426592320245.T,8,Non Stromal Cell,T
X200426592356726.N,0,Effector/Memory CD4+ T cells,N
X200426606483235.T,4,Macrophage,T
X200426606484189.T,1,Exhausted CD8+ T cells,T
X200426607012075.N,0,Effector/Memory CD4+ T cells,N
X200426607032683.N,0,Blood Cell,N
X200426619263261.T,5,B Cell,T
X200426619524982.N,7,Macrophage,N
X200426619615606.T,0,CD4+ T cell,T
X200426637937580.N,0,CD4 or CD8 T cell,N
X200426637965740.T,8,Pancreatic Cancer Cell,T
X200426638206821.N,6,Natural killer cell,N
X200426638436643.T,1,Exhausted CD8+ T cells,T
X200426638730974.T,0,Effector/Memory CD8+ T cells,T
X200441221539566.N,0,Effector/Memory CD4+ T cells,N
X200441221757229.N,3,Pro-angiogenesis Macrophage,N
X200441221766043.T,0,Effector/Memory CD8+ T cells,T
X200441222294437.T,4,Macrophage,T
X200441222351196.N,1,Effector/Memory CD4+ T cells,N
X200441236150620.T,5,B Cell,T
X200441236217140.T,3,Pro-angiogenesis Macrophage,T
X200441236470572.T,1,Exhausted CD8+ T cells,T
X200441236933492.N,3,Pro-angiogenesis Macrophage,N
X200441248991469.N,6,Natural killer cell,N
X200441249021278.N,6,Natural killer cell,N
X200441249347958.T,1,Exhausted CD8+ T cells,T
X200441249352924.N,2,Pro-angiogenesis Macrophage,N
X200441249516333.N,8,Non Blood Cell,N
X200441249586420.T,4,Blood Cell,T
X200441249586462.N,3,Pro-angiogenesis Macrophage,N
X200441267645365.T,1,Exhausted CD8+ T cells,T
X200441267702516.N,7,Macrophage,N
X200511149009261.N,0,Effector/Memory CD4+ T cells,N
X200511149533556.N,3,Pro-angiogenesis Macrophage,N
X200511149762395.N,8,CAFinfla,N
X200511163848621.T,8,Pancreatic Cancer Cell,T
X200511163950813.T,5,B Cell,T
X200511164135341.T,0,T regulatory cells,T
X200511164136820.N,1,Effector/Memory CD8+ T cells,N
X200511176464238.T,0,CD4+ T cell,T
X200511176493420.T,0,Blood Cell,T
X200511176726374.N,1,Effector/Memory CD8+ T cells,N
X200511176959901.T,2,Macrophage,T
X200511176959915.T,5,B Cell,T
