cell,integration_cluster,cell_type,sample_type
X121826155116899.N,4,Macrophage,N
X121826155313891.T,0,Effector/Memory CD8+ T cells,T
X121826155583733.N,7,Pro-inflammatory Macrophage,N
X121826167613790.N,2,Pro-angiogenesis Macrophage,N
X121826167896358.T,1,Effector/Memory CD8+ T cells,T
X121826186225382.N,1,Effector/Memory CD8+ T cells,N
X121826186251677.N,3,Pro-angiogenesis Macrophage,N
X121826186255132.T,5,B Cell,T
X121826186483493.T,1,Exhausted CD8+ T cells,T
X121826186771316.T,4,Macrophage,T
X121879156379046.T,4,Macrophage,T
X121879156386205.T,5,B Cell,T
X121879156386219.N,4,Macrophage,N
X121879156701557.N,0,Effector/Memory CD4+ T cells,N
X121879156968669.N,3,Pro-angiogenesis Macrophage,N
X121879170865501.N,3,Pro-angiogenesis Macrophage,N
X121879171100068.T,0,CD8+ T cell,T
X121879171124012.N,4,Pro-angiogenesis Macrophage,N
X121879171549492.N,2,Pro-angiogenesis Macrophage,N
X121879171614510.T,0,T regulatory cells,T
X121879171614646.N,0,Effector/Memory CD4+ T cells,N
X121879183608549.T,0,CD8+ T cell,T
X121879183645036.T,0,Tfh/Th1 helper CD4+ T cells,T
X121879183969500.N,2,Pro-angiogenesis Macrophage,N
X121879184133038.T,8,Cancer Associated Fibroblasts,T
X121879184164662.T,1,CD4 or CD8 T cell,T
X121879184172910.T,8,Non Blood Cell,T
X121879184193372.T,0,Blood Cell,T
X121879202225014.T,4,Phagocytosis Macrophage,T
X121879202293995.T,1,Exhausted CD8+ T cells,T
X121879202752924.T,10,CAFinfla,T
X121879203044059.T,1,CD8+ T cell,T
X121896067517366.T,8,Macrophage,T
X121896068339485.T,2,Macrophage,T
X121896082458421.T,1,Exhausted CD8+ T cells,T
X121896082781939.N,4,Pro-angiogenesis Macrophage,N
X121896082983332.N,8,Any Cell,N
X121896094846299.T,5,B Cell,T
X121896094881635.T,5,B Cell,T
X121896094882726.N,3,Pro-angiogenesis Macrophage,N
X121896095333101.N,0,Effector/Memory CD4+ T cells,N
X121896095570732.N,0,Effector/Memory CD4+ T cells,N
X121896095636766.N,0,Effector/Memory CD4+ T cells,N
X121896113727723.N,2,Pro-angiogenesis Macrophage,N
X121896113920796.N,6,Natural killer cell,N
X121896113989467.T,0,Effector/Memory CD8+ T cells,T
X121896114219299.N,1,Effector/Memory CD4+ T cells,N
X121955391782300.N,6,Natural killer cell,N
X121955392018331.N,3,Pro-angiogenesis Macrophage,N
X121955392019750.N,6,Natural killer cell,N
X121955392374627.N,1,CD8 T or NK cell,N
X121955406793005.T,0,CD4+ T cell,T
X121955406990574.N,4,Macrophage,N
X121955407055148.N,3,Pro-angiogenesis Macrophage,N
X121955407318243.N,6,Natural killer cell,N
X121955419313963.N,3,Pro-angiogenesis Macrophage,N
X121955437918638.T,0,CD4+ T cell,T
X121955437922667.N,2,Pro-angiogenesis Macrophage,N
X121955437956382.T,8,Pancreatic Cancer Cell,T
X121955438455086.N,1,Effector/Memory CD8+ T cells,N
X121955438520092.N,7,Pro-inflammatory Macrophage,N
X121965726587828.N,6,Natural killer cell,N
X121965727037214.N,3,Pro-angiogenesis Macrophage,N
X121965727108389.T,1,T or NK Cell,T
X121965727303412.T,5,B Cell,T
X121965727303515.T,1,Exhausted CD8+ T cells,T
X121965741295475.N,2,Pro-angiogenesis Macrophage,N
X121965741304547.N,13,Lung Cancer Cell,N
X121965741305141.T,9,CD4 or CD8 T cell,T
X121965741488054.N,0,Effector/Memory CD4+ T cells,N
X121965741493678.T,14,Mast cell,T
X121965741497068.T,0,CD4+ T cell,T
X121965741521333.N,3,Pro-angiogenesis Macrophage,N
